timestamp,cash,positions_value,portfolio_value,daily_return,cumulative_return,cumulative_max,drawdown
2025-04-01 09:00:00,100000.0,0.0,100000.0,,,,
2025-04-01 10:00:00,99063.90476220488,-98596.32472334619,467.580038858694,-0.995324199611413,0.004675800388586948,0.004675800388586948,0.0
2025-04-01 11:00:00,197727.10999571238,-196822.9945063151,904.1154893972939,0.9336058305742261,0.009041154893972956,0.009041154893972956,0.0
2025-04-01 12:00:00,198633.90327827685,-414.38306038518203,198219.52021789167,218.24137186282448,1.9821952021789202,1.9821952021789202,0.0
2025-04-01 13:00:00,197618.54445623417,-195260.57745384309,2357.9670023910876,-0.9881042644044385,0.02357967002391091,1.9821952021789202,-98.81042644044385
2025-04-01 14:00:00,197618.54445623417,-189932.7364567068,7685.80799952736,2.2595061727893544,0.0768580799952737,1.9821952021789202,-96.12257763963974
2025-04-01 15:00:00,378791.9725403163,-369362.2115745941,9429.760965722206,0.22690561178500546,0.09429760965722217,1.9821952021789202,-95.24276874681334
2025-04-01 16:00:00,378791.9725403163,-2302.757949491963,376489.2145908243,38.925637135383084,3.764892145908248,3.764892145908248,0.0
2025-04-01 17:00:00,11093.692349836056,365563.71188743104,376657.4042372671,0.0004467316457539283,3.7665740423726755,3.7665740423726755,0.0
2025-04-01 18:00:00,401045.82332322886,-1467.8086229148903,399578.014700314,0.0608526746194229,3.995780147003144,3.995780147003144,0.0
2025-04-02 09:00:00,795916.066771057,-1188153.0885398278,-392237.0217687709,-1.9816281360298342,-3.9223702176877135,3.995780147003144,-198.16281360298342
2025-04-02 10:00:00,2341373.0590267964,-2723328.6263305363,-381955.5673037398,-0.026212350936858142,-3.8195556730374025,3.995780147003144,-195.58973548387263
2025-04-02 11:00:00,1541924.2531494512,-359629.4870281471,1182294.7661213041,-4.095372517979602,11.822947661213057,11.822947661213057,0.0
2025-04-02 12:00:00,344594.40445681335,1614309.5056641141,1958903.9101209275,0.6568659240092947,19.589039101209302,19.589039101209302,0.0
2025-04-02 13:00:00,2322118.837810418,1204839.5907889209,3526958.428599339,0.800475465068428,35.26958428599344,35.26958428599344,0.0
2025-04-02 14:00:00,2312733.755482599,-2303358.048861401,9375.706621197984,-0.9973417019760787,0.09375706621198059,35.26958428599344,-99.73417019760788
2025-04-02 15:00:00,5782534.934342274,-5748367.4216639,34167.512678374966,2.6442600071469813,0.3416751267837524,35.26958428599344,-99.03124708243459
2025-04-02 16:00:00,7019007.548218054,46327.65835044533,7065335.206568499,205.7851784552124,70.65335206568555,70.65335206568555,0.0
